ID,Ročník,Názov učebnice,Autor,ISBN,Číslo skladovej karty,Cena
1,1,Matematika Algebra rovnice a nerovnice,Jozef Smida,80-10-00560-6,131189,"0,96 €"
2,1,Matematika pre 1. ročník gymnázií,Zbynek Kubáček,978-80-10-01758-0,131001,"2,81 €"
3,1,Geografia pre 1. ročník gymnázia so štvorročným štúdiom a 5. ročník gymnázia s osemročným štúdiom,Peter Likavský,978-80-8091-503-2,131140,"2,12"
4,1,Slovenský jazyk pre stredné školy 1,Milada Caltíková,978-80-8120-685-6,666666,"4,8"
5,1,Maturita Solutions Third Edition,Tim Falla,978-0-19-450594-9,666666,"666,00 €"
6,1,Informatika pre stredné školy,Ivan Kalaš,80-08-01518-7,131156,"2,29"
7,1,Vzťahy a zodpovednosť učebnica katolického náboženstva pre 1. ročník stredných škôl,Tibor Reimer ,978-80-8161-145-2,666666,"7,59"
8,1,Dejepis pre 1. ročník gymnázií,Július Bartl,80-10-00962-8,797,"3,89"
9,1,Dejepis pre 1. ročník gymnázií a stredných škôl,Michal Bada,978-80-10-02006-5,666666,"666,00 €"
10,1,Biológia pre 1. ročník gymnázii,Jana Višňovská,978-80-8091-214-7,666666,"666,00 €"
11,1,Chémia pre 1. ročník gymnázii,Jarmila Kmeťová,978-80-8091-174-4,931147,"4,57"
12,2,Biológia pre 2. ročník gymnázia,Jana Višňovská,978-80-10-02286-1,975,"2,59 €"
13,2,Biológia pre gymnáziá - Praktické cvičenia a seminár I,Katarína Ušáková,978-80-10-00766-0,131218,"2,81"
14,2,Dejepis svetové dejiny pre 2. ročník gymnázií,Miroslav Kamenický,80-10-00149-X,131221,"2,76"
15,2,Dejepis pre 2. ročník gymnázií a stredných škôl ,Anna Bocková,978-80-10-02207-6,666666,"666,00 €"
16,2,Zbierka úloh z matematiky pre 2. ročník gymnázia,Jozef Smida,67-438-85,666666,"666,00 €"
17,2,Geografia pre 2. ročník gymnázií ,Ladislav Tomláči,978-80-8042-580-7,666666,"666,00 €"
18,2,Fyzika pre 2. ročník gymnázií ,Milan Bednaŕík,80-08-02100-4,819,"6,58 €"
19,2,Dejepis národné dejiny pre 2. ročník gymnázií ,Július Bartl,80-08-03167-0,131220,"3,15 €"
20,2,Slovenský jazyk pre 1. - 4. ročník stredných škôl ,Katarína Hincová,978-80-10-01557-3,931208,"666,00 €"
21,2,Zbierka úloh z fyziky pre gymnáziá - 1. časť,Eva Tomanová,80-10-00530-4,131177,"2,62 €"
22,2,Funkcie I pre 1. ročník gymnázia,Oldřich Odvárko,80-08-00524-6,131185,"0,18 €"
23,2,Programovanie v Delphi,Andrej Blaho,80-10-00421-9,131160,2.62
24,2,Nový Slovenský jazyk pre stredné školy,Milada Caltíkova,978-80-8120-719-8,666,"4,80 €"
25,2,Matematické fyzikálne a chemické tabuľky pre stredné školy,Jiři Mikulčák,80-08-00050-3,131175,"2,92"
26,2,Informatika pre stredné školy,Ivan Kalaš,80-10-00762,131156,"2,29"
27,2,Práca s grafikou ,Ľubomír Salanci,978-80-10-02170-3,838,"1,74 €"
28,2,Cvičebnica - Slovenský jazyk pre 1. ročník stredných škôl,Monika Záborská,978-80-10-01737-9,131106,"1,36 €"
29,2,Čítanka pre 2. ročník gymnázií a stredných odborných škôl ,Karel Dvořák ,978-80-8042-574-6,980202,"2,50 €"
